MES_REFERENCIA;SUBMERCADO;SEMANA;PLD_MEDIA_SEMANA
202609;NORDESTE;12/09/2026;101.02
202609;NORTE;12/09/2026;101.02
202609;SUDESTE;12/09/2026;101.02
202609;SUL;12/09/2026;99.65
202609;NORDESTE;05/09/2026;130.26
202609;NORTE;05/09/2026;130.27
202609;SUDESTE;05/09/2026;130.27
202609;SUL;05/09/2026;130.26
202608;NORDESTE;29/08/2026;180.81
202608;NORTE;29/08/2026;181.81
202608;SUDESTE;29/08/2026;182.45
202608;SUL;29/08/2026;182.44
202608;NORDESTE;22/08/2026;121.7
202608;NORTE;22/08/2026;125.37
202608;SUDESTE;22/08/2026;129.37
202608;SUL;22/08/2026;129.36
202608;NORDESTE;15/08/2026;115.66
202608;NORTE;15/08/2026;117.92
202608;SUDESTE;15/08/2026;119.99
202608;SUL;15/08/2026;119.99
202608;NORDESTE;08/08/2026;128.4
202608;NORTE;08/08/2026;128.48
202608;SUDESTE;08/08/2026;128.52
202608;SUL;08/08/2026;128.51
202608;NORDESTE;01/08/2026;117.82
202608;NORTE;01/08/2026;117.88
202608;SUDESTE;01/08/2026;117.9
202608;SUL;01/08/2026;117.84
202607;NORDESTE;25/07/2026;146.13
202607;NORTE;25/07/2026;146.19
202607;SUDESTE;25/07/2026;146.54
202607;SUL;25/07/2026;146.54
202607;NORDESTE;18/07/2026;147.73
202607;NORTE;18/07/2026;148.17
202607;SUDESTE;18/07/2026;148.84
202607;SUL;18/07/2026;149.06
202607;NORDESTE;11/07/2026;135.37
202607;NORTE;11/07/2026;135.37
202607;SUDESTE;11/07/2026;135.37
202607;SUL;11/07/2026;135.29
202607;NORDESTE;04/07/2026;115.72
202607;NORTE;04/07/2026;115.72
202607;SUDESTE;04/07/2026;115.72
202607;SUL;04/07/2026;115.3
202606;NORDESTE;27/06/2026;125.03
202606;NORTE;27/06/2026;125.52
202606;SUDESTE;27/06/2026;125.66
202606;SUL;27/06/2026;125.66
202606;NORDESTE;20/06/2026;188.31
202606;NORTE;20/06/2026;193.99
202606;SUDESTE;20/06/2026;197.04
202606;SUL;20/06/2026;205.51
202606;NORDESTE;13/06/2026;188.94
202606;NORTE;13/06/2026;189.51
202606;SUDESTE;13/06/2026;190.01
202606;SUL;13/06/2026;193.38
202606;NORDESTE;06/06/2026;202.96
202606;NORTE;06/06/2026;204.78
202606;SUDESTE;06/06/2026;205.63
202606;SUL;06/06/2026;212.7
202605;NORDESTE;30/05/2026;192.94
202605;NORTE;30/05/2026;194.1
202605;SUDESTE;30/05/2026;194.45
202605;SUL;30/05/2026;200.44
202605;NORDESTE;23/05/2026;224.84
202605;NORTE;23/05/2026;227.95
202605;SUDESTE;23/05/2026;231.99
202605;SUL;23/05/2026;257.1
202605;NORDESTE;16/05/2026;166.92
202605;NORTE;16/05/2026;168.43
202605;SUDESTE;16/05/2026;174.32
202605;SUL;16/05/2026;187.03
202605;NORDESTE;09/05/2026;192.97
202605;NORTE;09/05/2026;199.16
202605;SUDESTE;09/05/2026;199.76
202605;SUL;09/05/2026;221.91
202605;NORDESTE;02/05/2026;90.37
202605;NORTE;02/05/2026;90.36
202605;SUDESTE;02/05/2026;283.41
202605;SUL;02/05/2026;330.37
202604;NORDESTE;25/04/2026;68.17
202604;NORTE;25/04/2026;68.17
202604;SUDESTE;25/04/2026;234.63
202604;SUL;25/04/2026;280.79
202604;NORDESTE;18/04/2026;160.3
202604;NORTE;18/04/2026;160.52
202604;SUDESTE;18/04/2026;194.36
202604;SUL;18/04/2026;228.67
202604;NORDESTE;11/04/2026;138.53
202604;NORTE;11/04/2026;139.61
202604;SUDESTE;11/04/2026;177.39
202604;SUL;11/04/2026;209.21
202604;NORDESTE;04/04/2026;142.63
202604;NORTE;04/04/2026;142.65
202604;SUDESTE;04/04/2026;221.42
202604;SUL;04/04/2026;269.61
202603;NORDESTE;28/03/2026;228.64
202603;NORTE;28/03/2026;228.63
202603;SUDESTE;28/03/2026;248.26
202603;SUL;28/03/2026;305.92
202603;NORDESTE;21/03/2026;244.98
202603;NORTE;21/03/2026;244.97
202603;SUDESTE;21/03/2026;291.27
202603;SUL;21/03/2026;404.7
202603;NORDESTE;14/03/2026;285.09
202603;NORTE;14/03/2026;285.08
202603;SUDESTE;14/03/2026;312.26
202603;SUL;14/03/2026;438.02
202603;NORDESTE;07/03/2026;198.34
202603;NORTE;07/03/2026;198.34
202603;SUDESTE;07/03/2026;300.41
202603;SUL;07/03/2026;483.27
202602;NORDESTE;28/02/2026;294.36
202602;NORTE;28/02/2026;294.35
202602;SUDESTE;28/02/2026;339.84
202602;SUL;28/02/2026;432.8
202602;NORDESTE;21/02/2026;372.8
202602;NORTE;21/02/2026;372.79
202602;SUDESTE;21/02/2026;372.86
202602;SUL;21/02/2026;380.22
202602;NORDESTE;14/02/2026;331.34
202602;NORTE;14/02/2026;331.34
202602;SUDESTE;14/02/2026;337.84
202602;SUL;14/02/2026;389.54
202602;NORDESTE;07/02/2026;414.4
202602;NORTE;07/02/2026;414.4
202602;SUDESTE;07/02/2026;416.88
202602;SUL;07/02/2026;435.75
202601;NORDESTE;31/01/2026;398.29
202601;NORTE;31/01/2026;398.28
202601;SUDESTE;31/01/2026;398.29
202601;SUL;31/01/2026;407.56
202601;NORDESTE;24/01/2026;257.02
202601;NORTE;24/01/2026;257.25
202601;SUDESTE;24/01/2026;277.39
202601;SUL;24/01/2026;280.21
202601;NORDESTE;17/01/2026;300.88
202601;NORTE;17/01/2026;300.92
202601;SUDESTE;17/01/2026;302.71
202601;SUL;17/01/2026;302.71
202601;NORDESTE;10/01/2026;256.14
202601;NORTE;10/01/2026;262.53
202601;SUDESTE;10/01/2026;271.09
202601;SUL;10/01/2026;271.82
202601;NORDESTE;03/01/2026;151.74
202601;NORTE;03/01/2026;151.75
202601;SUDESTE;03/01/2026;152.16
202601;SUL;03/01/2026;152.16
202512;NORDESTE;27/12/2025;205.41
202512;NORTE;27/12/2025;205.42
202512;SUDESTE;27/12/2025;205.42
202512;SUL;27/12/2025;205.41
