"DATA_ATUALIZACAO";"CNPJ";"SIGLA_AGENTE";"URL_FATOR_ALAVANCAGEM"
"13/12/2023";"20533310000189";ITAREMA VIII;https://simpleenergy.com.br/fator-de-alavancagem/
"17/11/2023";"35865644000127";VENTOS DE SANTA JACINTA;https://casadosventos.com.br/monitoramento-prudencial
"17/11/2023";"22141909000100";CPFL BRASIL VAREJISTA;https://cpflsolucoes.com.br/transparencia/
"19/11/2024";"14095035000166";EOL BRISA;https://www.aurenenergia.com.br/
"17/11/2023";"23037422000137";VENTOS DE SAO CAIO;https://www.aurenenergia.com.br/
"01/04/2024";"42416651000107";NEXA;https://www.nexaresources.com/monitoramento-prudencial/
"22/08/2025";"31469550000188";PEREIRA BARRETO I;https://www.edp.com/pt-br/america-do-sul/brasil/o-que-fazemos/geracao-energia/fator-de-alavancagem
"07/12/2023";"07903169000109";UTE ANGELICA PIE;https://adecoagro-my.sharepoint.com/:f:/p/pfiordelice/EmK2pCQPSqlGoVE5JaApKi4BHKragYaZ3Iu19LIJD39adA?e=gKAejy
"17/11/2023";"37028928000194";MERCATTO COM;https://www.mercattoenergia.com.br/Comercializacao-de-Energia
"10/11/2023";"31562321000103";ARTEMIS COM;https://safiraenergia.com.br/monitoramento-prudencia
"04/03/2024";"26215280000149";CSI C;https://recurrentenergy.com/compliance/brazil/
"17/11/2023";"23414549000128";NOVA OLINDA C;https://cgnbe.com.br/fator-de-alavancagem/
"17/11/2023";"29854266000183";BISMUT COM;https://matrixenergia.com/fator-de-alavancagem
"15/02/2024";"15313113000114";EOL CAICARA II;https://www.voltalia.com/pt-pt/comercializadora
"01/12/2023";"43913162000123";ENBPAR;https://enbpar.gov.br/areas-de-atuacao/comercializacao-de-energia/
"23/11/2023";"14555633000170";BEP;https://bepenergia.com.br/
"17/11/2023";"12774042000169";VENTO FORMOSO;https://www.echoenergia.com.br/monitoramento-prudencial-rs567
"17/11/2023";"08768414000177";EAPSA;https://www.neoenergia.com/web/produtos-e-solucoes/fator-de-alavancagem
"17/11/2023";"03573381000196";TANGARA;https://www.elera.com/transparencia/
"16/11/2023";"10883378000134";CPFL PEDRA CHEIROSA;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"09/11/2023";"12960082000103";BRITE;https://ibituenergia.com/ccee/
"09/11/2023";"11476958000170";COLONIA;https://ibituenergia.com/ccee/
"09/11/2023";"15253315000118";VENTOS VI;https://www.brasilventos.com.br/monitoramentoprudencial
"17/11/2023";"40477253000175";SOLAR SAO JOAO II;https://www.comerc.com.br/geracao-renovavel/geracao-centralizada
"17/11/2023";"37380661000108";JANAUBA XIV;https://www.elera.com/transparencia/
"01/12/2023";"17635277000193";METALSIDER;https://www.metalsider.com.br/
"19/11/2024";"00194724000113";AUREN OPERACOES;https://www.aurenenergia.com.br/
"17/11/2023";"37381180000109";JANAUBA IX;https://www.elera.com/transparencia/
"17/11/2023";"31627849000113";AMBAR COMERCIALIZADORA;https://portal.ambarenergia.com.br/pages/login.jsp
"16/11/2023";"10797907000187";CPFL SANTA CLARA IV;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"16/11/2023";"10797889000133";CPFL CAMPOS DOS VENTOS II;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"21/03/2025";"12278190000192";CGH DALBA;https://www.ccee.org.br/web/guest/fator-de-alavancagem
"17/11/2023";"29340729000199";SKOPOS ENERGIA;https://www.skoposenergia.com.br/ccee
"16/11/2023";"10797905000198";CPFL EURUS VI;https://www.grupocpfl.com.br/unidades-de-negocios/fator-alavancagem
"17/11/2023";"21909246000150";PEDRA RAJADA;https://www.echoenergia.com.br/monitoramento-prudencial-rs567
"17/11/2023";"04462976000137";IBS-ENERGY;https://www.ibs-energy.com.br/
"22/11/2024";"21553640000107";EOL DELFINA D;https://enelcomercializadora.com.br/pt/quem-somos
"12/01/2024";"11599292000147";CAPITALE;https://capitaleenergia.com.br/mercado-livre/
"19/01/2024";"40800108000183";SIAO ENERGIA;https://sionenergia.com.br/fator-alavancagem/
